International number ID,date,Latitude of the center,Longitude of the center,Central pressure,timestamp
1112,2011-09-07 12:00:00,46.386686482792356,137.7838311631391,991.347577732712,1315368000
1112,2011-09-07 18:00:00,46.910449204426186,137.58339263431026,990.7959681733921,1315389600
1112,2011-09-08 00:00:00,47.39351133532364,137.3960612191721,990.3340422981802,1315411200
1112,2011-09-08 06:00:00,47.851646920202256,137.21993214895826,989.9526685704508,1315432800
1112,2011-09-08 12:00:00,48.295997553484995,137.05360976927113,989.6441982888779,1315454400
1318,2013-09-20 18:00:00,59.94855802901657,168.52458714480508,1000.0888616985449,1379671200
1318,2013-09-21 00:00:00,60.836195672426584,168.81358234869367,1001.861544079834,1379692800
1318,2013-09-21 06:00:00,61.635514707489165,169.29793438934212,1003.4656000396935,1379714400
1318,2013-09-21 12:00:00,62.38570594898647,169.88641537425883,1004.9802953932467,1379736000
1318,2013-09-21 18:00:00,63.10794787032228,170.52977586515772,1006.4480889866745,1379757600
1910,2019-08-17 18:00:00,46.296376949422665,141.33960053192277,1004.9395287481875,1566036000
1910,2019-08-18 00:00:00,47.625377151525754,141.697485822212,1010.0637911697759,1566057600
1910,2019-08-18 06:00:00,49.07521956407254,142.08906971513443,1015.371278593293,1566079200
1910,2019-08-18 12:00:00,50.63602512077432,142.52677203672738,1020.8670650083859,1566100800
1910,2019-08-18 18:00:00,52.299772294824834,143.0204716530152,1026.5613768501917,1566122400
2108,2021-07-31 12:00:00,41.46468955261844,133.66827813621376,1002.3701168128462,1627704000
2108,2021-07-31 18:00:00,41.97642546563111,133.321206181472,1002.7015798184013,1627725600
2108,2021-08-01 00:00:00,42.456001373037,132.9052011841104,1003.021229590461,1627747200
2108,2021-08-01 06:00:00,42.914513443533,132.44719157601162,1003.3430488572064,1627768800
2108,2021-08-01 12:00:00,43.357903703899865,131.96314307266653,1003.6739093361041,1627790400
1915,2019-09-11 18:00:00,48.83535592602129,182.52726992469115,1004.0862343845365,1568196000
1915,2019-09-12 00:00:00,51.03824764897581,190.05158165063858,1006.5658906458993,1568217600
1915,2019-09-12 06:00:00,53.42270710593948,198.57140366845988,1009.4875057587924,1568239200
1915,2019-09-12 12:00:00,56.005322656343196,208.19528964561414,1012.9016122965986,1568260800
1915,2019-09-12 18:00:00,58.805267590490985,219.04304276713447,1016.8617295155855,1568282400
